# CHIME Latency Histogram - Read
# Bucket size: 500 ns
# Total samples: 30000000
# Format: latency_ns	count
500	783
1000	16068
1500	27982
2000	37576
2500	43759
3000	48237
3500	86884
4000	565151
4500	1798800
5000	3031000
5500	4562427
6000	6198929
6500	5844424
7000	3671973
7500	1717623
8000	746006
8500	399865
9000	276767
9500	209268
10000	162727
10500	130868
11000	106089
11500	84120
12000	63846
12500	46546
13000	34133
13500	24541
14000	17580
14500	12675
15000	8901
15500	6155
16000	4479
16500	3116
17000	2347
17500	1631
18000	1212
18500	924
19000	696
19500	562
20000	445
20500	363
21000	310
21500	246
22000	219
22500	180
23000	148
23500	119
24000	126
24500	109
25000	116
25500	100
26000	66
26500	64
27000	53
27500	51
28000	51
28500	42
29000	31
29500	32
30000	27
30500	32
31000	25
31500	12
32000	14
32500	9
33000	11
33500	9
34000	6
34500	9
35000	7
35500	7
36000	9
36500	7
37000	6
37500	4
38000	5
38500	2
39000	4
39500	7
40000	4
40500	6
41000	2
41500	2
42000	3
42500	4
43000	2
43500	3
44000	2
44500	5
45000	3
45500	1
46000	2
46500	3
47000	4
47500	1
48000	2
48500	2
49000	1
49500	3
50000	1
51000	2
51500	2
52000	3
52500	3
53000	2
53500	2
54500	2
55000	1
55500	2
56500	4
57000	2
58500	3
59000	4
59500	2
60000	3
60500	2
61000	2
62000	1
63000	1
64000	3
64500	1
65000	1
65500	2
66000	2
66500	1
67000	3
68000	1
68500	1
69500	1
70500	1
71000	1
71500	1
73000	1
79000	1
80000	2
80500	1
81000	1
84500	3
87000	1
88500	1
89000	1
89500	1
90000	1
91000	3
91500	4
92000	1
92500	1
93000	3
93500	2
94000	5
94500	2
95000	6
95500	2
96000	2
96500	4
97000	4
97500	2
98000	1
98500	1
99000	5
99500	5
100000	2
100500	6
101000	2
101500	2
102000	1
102500	2
103000	7
103500	1
104000	3
104500	5
105000	2
106000	1
106500	3
107000	1
107500	1
108000	1
108500	5
109000	2
109500	2
110500	1
111000	1
111500	1
112500	1
114500	1
115000	1
115500	1
119000	1
126500	1
135500	1
140500	1
191500	1
209500	1
