# CHIME Latency Histogram - Read
# Bucket size: 500 ns
# Total samples: 21000000
# Format: latency_ns	count
500	2
1000	89
1500	114
2000	146
2500	207
3000	228
3500	1090
4000	11514
4500	80939
5000	299024
5500	796206
6000	1458226
6500	1969564
7000	2200203
7500	2089599
8000	1876295
8500	1611181
9000	1324181
9500	1116490
10000	901199
10500	731617
11000	599520
11500	474155
12000	389852
12500	311846
13000	249917
13500	206025
14000	163493
14500	135149
15000	111631
15500	90617
16000	78300
16500	65711
17000	57243
17500	50425
18000	44272
18500	40843
19000	37408
19500	34497
20000	33657
20500	31224
21000	30618
21500	29672
22000	28245
22500	28711
23000	27601
23500	27265
24000	27588
24500	26432
25000	27015
25500	26090
26000	26029
26500	26206
27000	25608
27500	25712
28000	25862
28500	24955
29000	25668
29500	24589
30000	24683
30500	24711
31000	23820
31500	24262
32000	23154
32500	22746
33000	23134
33500	21984
34000	22017
34500	21402
35000	20644
35500	20911
36000	19308
36500	19302
37000	18888
37500	18108
38000	18009
38500	16983
39000	16276
39500	16207
40000	15187
40500	14782
41000	14021
41500	13466
42000	12853
42500	12276
43000	11856
43500	11143
44000	10211
44500	9882
45000	9027
45500	8699
46000	8366
46500	7332
47000	7185
47500	6381
48000	6088
48500	5832
49000	5138
49500	4986
50000	4541
50500	4180
51000	3958
51500	3506
52000	3402
52500	3185
53000	2924
53500	2708
54000	2424
54500	2385
55000	2297
55500	2071
56000	1984
56500	1850
57000	1687
57500	1678
58000	1613
58500	1576
59000	1505
59500	1400
60000	1336
60500	1248
61000	1322
61500	1314
62000	1162
62500	1165
63000	1215
63500	1196
64000	1114
64500	1068
65000	1082
65500	1056
66000	1029
66500	1018
67000	992
67500	982
68000	935
68500	933
69000	929
69500	877
70000	838
70500	841
71000	874
71500	829
72000	810
72500	762
73000	812
73500	828
74000	795
74500	752
75000	732
75500	749
76000	706
76500	735
77000	767
77500	734
78000	739
78500	689
79000	694
79500	699
80000	708
80500	725
81000	677
81500	671
82000	688
82500	639
83000	649
83500	685
84000	668
84500	677
85000	628
85500	624
86000	663
86500	645
87000	651
87500	620
88000	648
88500	677
89000	648
89500	646
90000	642
90500	621
91000	635
91500	615
92000	632
92500	670
93000	642
93500	688
94000	688
94500	649
95000	697
95500	641
96000	639
96500	660
97000	661
97500	676
98000	675
98500	670
99000	719
99500	696
100000	690
100500	712
101000	713
101500	756
102000	700
102500	713
103000	700
103500	709
104000	729
104500	757
105000	721
105500	727
106000	724
106500	733
107000	736
107500	739
108000	760
108500	734
109000	772
109500	722
110000	768
110500	778
111000	753
111500	801
112000	738
112500	808
113000	823
113500	762
114000	768
114500	753
115000	794
115500	761
116000	779
116500	761
117000	780
117500	784
118000	808
118500	758
119000	802
119500	828
120000	766
120500	815
121000	797
121500	770
122000	809
122500	751
123000	785
123500	752
124000	782
124500	802
125000	828
125500	749
126000	841
126500	842
127000	806
127500	835
128000	756
128500	748
129000	781
129500	764
130000	729
130500	759
131000	801
131500	802
132000	764
132500	730
133000	704
133500	736
134000	757
134500	768
135000	748
135500	691
136000	756
136500	731
137000	719
137500	728
138000	691
138500	711
139000	727
139500	691
140000	726
140500	735
141000	655
141500	700
142000	707
142500	702
143000	728
143500	670
144000	685
144500	693
145000	615
145500	665
146000	687
146500	676
147000	655
147500	643
148000	646
