# DEX Latency Histogram
# Total ops: 5000000
# Avg: 0.396729 us
# P50: 1 us, P90: 1 us, P95: 3 us, P99: 5 us, P99.9: 6 us
# latency_us	count
0	4280029
1	228103
2	79088
3	178369
4	126872
5	97592
6	8423
7	395
8	431
9	232
10	158
11	94
12	62
13	38
14	26
15	22
16	15
17	6
18	7
19	5
20	6
21	3
22	2
23	1
29	2
37	2
55	1
121	1
127	1
140	2
142	1
144	1
151	2
152	1
156	1
157	1
159	1
167	1
170	1
174	1
177	1
