# DEX Latency Histogram - Read (nanoseconds)
# Total ops: 21002716
# Avg: 1174.46 ns
# P50: 500 ns, P90: 4000 ns, P95: 5000 ns, P99: 6500 ns, P99.9: 7500 ns
# latency_ns	count
0	4776432
500	8885151
1000	3147145
1500	426190
2000	119864
2500	182673
3000	398675
3500	706982
4000	586143
4500	349551
5000	402803
5500	444198
6000	313828
6500	156627
7000	64295
7500	24186
8000	8870
8500	3441
9000	1658
9500	1011
10000	674
10500	419
11000	309
11500	225
12000	166
12500	149
13000	108
13500	110
14000	82
14500	59
15000	82
15500	81
16000	49
16500	49
17000	40
17500	30
18000	46
18500	39
19000	36
19500	27
20000	28
20500	23
21000	20
21500	12
22000	24
22500	11
23000	13
23500	16
24000	7
24500	3
25000	7
25500	3
26000	10
26500	3
27000	4
27500	3
28000	1
28500	1
29000	5
29500	1
30500	2
31000	1
32500	1
34500	1
35000	1
35500	1
36000	1
41000	3
42500	1
44500	2
45500	1
49000	1
53000	1
55000	1
