# DEX Latency Histogram - Read (nanoseconds)
# Total ops: 20997987
# Avg: 893.511 ns
# P50: 500 ns, P90: 3500 ns, P95: 4500 ns, P99: 6500 ns, P99.9: 8000 ns
# latency_ns	count
0	7498925
500	7889218
1000	2567714
1500	421244
2000	111549
2500	118380
3000	267102
3500	474459
4000	391293
4500	239636
5000	252011
5500	276333
6000	219979
6500	134183
7000	71241
7500	34299
8000	15510
8500	7220
9000	3188
9500	1607
10000	834
10500	485
11000	307
11500	201
12000	132
12500	114
13000	79
13500	86
14000	59
14500	96
15000	61
15500	42
16000	40
16500	45
17000	38
17500	34
18000	29
18500	29
19000	29
19500	20
20000	14
20500	17
21000	9
21500	14
22000	19
22500	5
23000	5
23500	7
24000	9
24500	5
25000	2
25500	2
26000	1
26500	2
27000	3
27500	4
28000	2
28500	3
29000	2
29500	1
30000	1
31500	1
32000	1
32500	2
38000	1
38500	1
39500	1
40000	1
44500	1
