# CHIME Latency Histogram - Read
# Bucket size: 500 ns
# Total samples: 30000000
# Format: latency_ns	count
500	2637
1000	38357
1500	66347
2000	90959
2500	106641
3000	119169
3500	279470
4000	1370593
4500	3087983
5000	4245167
5500	4989489
6000	5381511
6500	4419165
7000	2565082
7500	1163223
8000	527005
8500	315322
9000	233170
9500	183033
10000	144271
10500	113871
11000	90888
11500	73304
12000	57994
12500	46637
13000	37718
13500	31574
14000	26660
14500	23002
15000	19978
15500	17433
16000	15397
16500	13122
17000	11523
17500	9965
18000	8628
18500	7785
19000	6865
19500	6033
20000	5402
20500	4770
21000	4505
21500	4011
22000	3525
22500	3071
23000	3030
23500	2586
24000	2327
24500	2041
25000	1856
25500	1715
26000	1520
26500	1325
27000	1268
27500	1108
28000	950
28500	903
29000	752
29500	689
30000	615
30500	530
31000	442
31500	430
32000	350
32500	326
33000	273
33500	258
34000	245
34500	229
35000	182
35500	175
36000	141
36500	139
37000	98
37500	105
38000	92
38500	94
39000	67
39500	57
40000	63
40500	43
41000	51
41500	43
42000	42
42500	27
43000	27
43500	28
44000	28
44500	19
45000	29
45500	32
46000	18
46500	19
47000	11
47500	17
48000	12
48500	11
49000	6
49500	6
50000	4
50500	6
51000	9
51500	2
52000	4
52500	6
53000	5
53500	3
54000	4
54500	12
55000	3
55500	2
56000	7
56500	4
57000	4
57500	4
58000	2
58500	2
59000	2
59500	4
60000	2
60500	2
61000	5
61500	5
62000	3
62500	4
63000	2
63500	1
64000	3
64500	2
65000	3
65500	1
66000	3
66500	2
67000	1
67500	5
68000	1
69000	1
70000	1
72000	1
72500	2
73000	2
74000	3
74500	4
75000	2
75500	1
76000	1
76500	2
77000	2
77500	1
78500	1
79000	4
79500	3
80000	2
82500	1
83000	2
83500	1
86000	1
87500	2
88000	3
88500	1
89000	3
90000	4
90500	2
91000	2
91500	4
92000	3
93000	3
93500	7
94000	3
94500	6
95000	5
95500	2
96000	1
96500	1
97000	2
97500	3
98000	2
98500	2
99000	1
99500	5
100000	1
100500	6
101000	5
101500	5
102000	4
102500	6
103000	1
103500	4
104000	1
104500	1
105000	5
105500	3
106000	1
106500	1
107000	2
108000	2
110500	3
112000	1
113500	1
117500	1
150500	1
190500	1
