# DEX Latency Histogram - Range (nanoseconds)
# Total ops: 1500549
# Avg: 6130.24 ns
# P50: 5500 ns, P90: 12000 ns, P95: 14000 ns, P99: 18000 ns, P99.9: 22000 ns
# latency_ns	count
500	2951
1000	61626
1500	87973
2000	145052
2500	141081
3000	98411
3500	52014
4000	35945
4500	46458
5000	65410
5500	66370
6000	62802
6500	65436
7000	61393
7500	49233
8000	35957
8500	32646
9000	39398
9500	45979
10000	45529
10500	38674
11000	30174
11500	23445
12000	20116
12500	18719
13000	18534
13500	18493
14000	17140
14500	14488
15000	11514
15500	8869
16000	6824
16500	5692
17000	5089
17500	4704
18000	4076
18500	3238
19000	2364
19500	1636
20000	1201
20500	935
21000	697
21500	559
22000	456
22500	374
23000	247
23500	197
24000	118
24500	81
25000	46
25500	38
26000	16
26500	22
27000	14
27500	13
28000	13
28500	9
29000	7
29500	6
30000	6
30500	5
31000	6
31500	3
32000	3
32500	4
33000	2
33500	3
34000	1
34500	1
35000	2
35500	1
36000	1
36500	2
38000	1
39500	2
42500	1
43500	2
49500	1
