# DEX Latency Histogram - Read (nanoseconds)
# Total ops: 3499382
# Avg: 692.615 ns
# P50: 500 ns, P90: 3000 ns, P95: 4000 ns, P99: 5000 ns, P99.9: 6000 ns
# latency_ns	count
0	1638468
500	1226261
1000	202329
1500	15271
2000	22565
2500	40690
3000	82457
3500	79217
4000	41343
4500	58124
5000	58830
5500	26654
6000	5686
6500	770
7000	157
7500	81
8000	73
8500	59
9000	56
9500	32
10000	28
10500	19
11000	25
11500	19
12000	23
12500	21
13000	19
13500	15
14000	20
14500	8
15000	6
15500	10
16000	6
16500	6
17000	6
17500	8
18000	3
18500	4
19000	1
19500	1
20000	1
21000	3
21500	1
22000	2
23000	1
31000	1
32500	1
33500	1
