# DEX Latency Histogram - Read (nanoseconds)
# Total ops: 3499451
# Avg: 1235.3 ns
# P50: 500 ns, P90: 4000 ns, P95: 5000 ns, P99: 5500 ns, P99.9: 6000 ns
# latency_ns	count
0	570141
500	1788270
1000	311095
1500	21156
2000	38295
2500	73737
3000	160547
3500	155710
4000	82091
4500	122814
5000	118288
5500	46714
6000	8350
6500	937
7000	224
7500	186
8000	172
8500	145
9000	86
9500	69
10000	47
10500	36
11000	34
11500	42
12000	40
12500	25
13000	16
13500	25
14000	24
14500	17
15000	23
15500	12
16000	14
16500	9
17000	8
17500	11
18000	5
18500	6
19000	1
19500	3
20000	4
21000	5
21500	1
22000	1
22500	1
23000	4
23500	1
24000	2
24500	2
25500	1
27500	1
33000	1
36500	1
47500	1
