# DEX Latency Histogram - Range (nanoseconds)
# Total ops: 1501219
# Avg: 5141.93 ns
# P50: 3500 ns, P90: 11500 ns, P95: 13500 ns, P99: 17500 ns, P99.9: 22000 ns
# latency_ns	count
500	21356
1000	174516
1500	161622
2000	152630
2500	133407
3000	90088
3500	48121
4000	32243
4500	37413
5000	50589
5500	52802
6000	49823
6500	50858
7000	48477
7500	39648
8000	29642
8500	25891
9000	28866
9500	33495
10000	33996
10500	30520
11000	24415
11500	19215
12000	15984
12500	14203
13000	14125
13500	13641
14000	12911
14500	11765
15000	9312
15500	7304
16000	5590
16500	4802
17000	4072
17500	3642
18000	3166
18500	2674
19000	2137
19500	1615
20000	1124
20500	804
21000	632
21500	497
22000	381
22500	355
23000	228
23500	166
24000	120
24500	89
25000	58
25500	27
26000	27
26500	20
27000	20
27500	13
28000	14
28500	4
29000	5
29500	3
30000	10
30500	8
31000	4
31500	5
32000	4
32500	1
33000	3
33500	4
34000	2
35000	3
35500	1
36000	2
37500	1
38000	1
40500	1
42000	1
43000	1
43500	1
50000	1
70500	1
97000	1
