# DEX Latency Histogram - Read (nanoseconds)
# Total ops: 3498781
# Avg: 976.948 ns
# P50: 500 ns, P90: 3500 ns, P95: 4500 ns, P99: 5500 ns, P99.9: 6000 ns
# latency_ns	count
0	1069594
500	1541130
1000	256200
1500	18649
2000	31532
2500	56397
3000	107351
3500	119623
4000	69463
4500	83526
5000	90068
5500	43428
6000	9547
6500	1147
7000	210
7500	145
8000	132
8500	107
9000	96
9500	54
10000	55
10500	39
11000	34
11500	25
12000	33
12500	31
13000	25
13500	19
14000	23
14500	19
15000	10
15500	9
16000	5
16500	6
17000	6
17500	6
18000	5
18500	6
19000	2
19500	2
20000	2
20500	2
21000	2
21500	4
22000	3
22500	1
23500	2
25000	1
25500	2
26000	2
39000	1
