# CHIME Latency Histogram - Read
# Bucket size: 500 ns
# Total samples: 30000000
# Format: latency_ns	count
500	47
1000	2532
1500	4711
2000	6477
2500	7659
3000	8725
3500	29058
4000	213706
4500	722444
5000	1649253
5500	3555532
6000	6199626
6500	6857254
7000	4810090
7500	2421749
8000	1097866
8500	596137
9000	400835
9500	289632
10000	218259
10500	174890
11000	147448
11500	124802
12000	102889
12500	82639
13000	64889
13500	50742
14000	38345
14500	29264
15000	22094
15500	16907
16000	13022
16500	9879
17000	7298
17500	5242
18000	3714
18500	2771
19000	2075
19500	1625
20000	1238
20500	986
21000	801
21500	654
22000	579
22500	462
23000	371
23500	300
24000	260
24500	217
25000	186
25500	161
26000	132
26500	110
27000	108
27500	106
28000	92
28500	79
29000	64
29500	69
30000	74
30500	58
31000	52
31500	33
32000	42
32500	37
33000	21
33500	21
34000	16
34500	19
35000	21
35500	27
36000	9
36500	16
37000	23
37500	19
38000	13
38500	14
39000	19
39500	11
40000	13
40500	9
41000	11
41500	10
42000	7
42500	4
43000	7
43500	4
44000	9
44500	6
45000	6
45500	7
46000	3
46500	5
47000	6
47500	4
48000	4
48500	4
49000	6
49500	5
50000	6
50500	3
51000	5
51500	7
52000	2
52500	2
53500	4
54000	3
54500	2
55000	6
55500	2
56000	2
56500	4
57000	1
57500	2
58000	2
58500	2
59000	2
60000	2
60500	1
61000	2
61500	3
62000	2
62500	3
63000	2
63500	1
64000	1
64500	2
65000	5
65500	3
66000	1
68000	1
69500	1
70000	2
70500	2
71000	1
73500	1
74500	2
79500	1
80000	1
80500	1
82000	1
88000	1
88500	1
89000	1
89500	1
91000	1
92000	3
92500	3
93000	3
93500	4
94500	1
95000	4
95500	3
96000	3
96500	2
97000	1
97500	4
98000	2
98500	7
99000	2
99500	4
100000	3
100500	5
101000	3
101500	4
102000	1
102500	1
103000	5
103500	7
104000	3
104500	1
105000	2
105500	2
106500	3
107500	6
108000	3
108500	2
109500	2
110000	1
110500	1
111000	1
111500	1
112000	1
112500	1
113500	2
114500	1
115000	1
116000	1
117000	1
118000	1
121500	1
122000	1
123000	1
125500	1
126000	1
133500	1
164500	1
